district,capacity,name,latitude,longitude
Ranga Reddy,"Godown,  5000 MT's  ",Moinabad,17.333267,78.288869
Ranga Reddy,"Godown,  2500 MT's",Shankarpally,17.451972,78.132948
Ranga Reddy,"Godown,  5000 MT's",Chevella,17.31047,78.13978
Ranga Reddy,"Godown,  10000 MT's",Shadnagar,17.041282,78.200179
Ranga Reddy,"Godown,  2500 MT's",Ibrahimpatnam,17.188829,78.646914
Ranga Reddy,"Godown,  2500 MT's",Sardarnagar,17.092174,78.162403
Ranga Reddy,"Godown,  2500 MT's",Amangal,,
Ranga Reddy,5000MT Godown ,Maheshwaram/ Ibrahimpnam,17.089751,78.4571
Ranga Reddy,5000MT Godown ,Dawoodkhanguda/ Gaddiannaram,17.299692,78.53342
Ranga Reddy,5000MT Godown   ,Keshampet/ Shadnagar,16.996082,78.302725
Ranga Reddy,5000MT Godown  ,Telkondapally/ Amangal,,
Ranga Reddy,5000MT Godown,Kandukuru / Ibrahimpnam,17.089751,78.4571
Ranga Reddy,5000MT Godown   ,Kondurg/ Shadnagar,17.094499,78.031256
Ranga Reddy,"Godown,  2500 MT's",Manchal (M),,
Ranga Reddy,"Godown,  2500 MT's",Thakkallapally(V)/         Yacharam(M),,
Ranga Reddy,5000MT Godown   ,Kothur/ Shadnagar,,
Ranga Reddy,"Godown,  2500 MT's",Narsingi/Babbuguda,,
Karimnagar ,"Godown,  5000 MT's",Huzurabad/ Kesavapnam,18.293354,79.305457
Karimnagar ,5000MT Godown  ,Gopalraopet / Gangadhara,18.694221,79.06171
Karimnagar ,5000MT Godown  ,Gangadhara,18.57804,79.024462
Karimnagar ,7500 MT Godown  ,Choppadandi ,18.538548,79.133598
Karimnagar ,5000MT Godown   ,Saidapur / Huzurabad,18.216462,79.261032
Karimnagar ,5000MT Godown   ,Manakondur(M),,
Karimnagar ,"Godown,  2500 MT's",Ganneruvaram  (M),,
Karimnagar ,"Godown,  5000 MT's",Jammikunta New Yard,,
,,,,
,,,,
,,,,
,,,,
Mahabubnagar ,"Godown,   2500 MT's",Mahabubnagar,16.754646,77.993231
Mahabubnagar ,"Godown,  5000 MT's",Makthal/ Krishna,16.407214,77.32609
Mahabubnagar ,"Godown,  2500 MT's",Narayanpet,16.684639,77.45842
Mahabubnagar ,5000MT Godown    ,Boothpoor/ Badepally,16.639446,78.132169
Mahabubnagar ,5000MT Godown   ,Midjil/ Badepally,16.680126,78.339558
Mahabubnagar ,5000MT Godown,      Balanagar/     Badepally,16.936219,78.184161
Mahabubnagar ,5000MT Godown   ,Deverakadra,16.624047,77.839766
Mahabubnagar ,5000MT Godown   ,C.C Kunta/ Devarakadra,16.455379,77.781143
Mahabubnagar ,5000MT Godown ,Damaragidda/ Kosgi,16.935498,77.496872
Mahabubnagar ,5000MT Godown   ,Makthal,16.431243,77.500648
Mahabubnagar ,5000MT Godown  ,Koikonda/ Mahabubnagar,16.827084,77.855988
Mahabubnagar ,5000MT Godown  ,Dorepalli(V)/ Maddur(M),,
Mahabubnagar ,"Godown,  2500 MT's",Narwa(M),,
Mahabubnagar ,"Godown,  2500 MT's",Chinnambavi (M),,
Mahabubnagar ,"Godown,  2500 MT's",Janampet(V)/ Moosapeta(M) ,16.634513,77.989767
Mahabubnagar ,5000MT Godown  ,Dhanwada(M),,
Mahabubnagar ,5000MT Godown  ,Hanwada(M),,
Khammam ,"Godown,  2500 MT's",Nelakondapally,17.098775,80.042648
Khammam ,"Godown,  5000 MT's",Madhira/ Yerrupalem,,
Khammam ,"Godown,  2500 MT's",Enkoor ,17.328311,80.438846
Khammam ,5000MT Godown  ,Vemsoor/ Sathupally,,
Khammam ,5000MT Godown ,Ayyagaripet/ Sathupally ,,
Khammam ,5000MT Godown  ,Konijerla/ Wyra,17.211038,80.291854
Khammam ,5000MT Godown  ,Nelakondapally/ Singareddypalem ,17.104048,80.040232
Khammam ,10000MT Godown ,Khammam(Rural),17.283618,80.092939
Khammam ,5000MT Godown  ,Chinthakani/ Khammam,17.163117,80.221571
Khammam ,5000MT Godown  ,Bonakal/ Madhira,17.026961,80.248894
Khammam ,5000MT Godown  ,Singareni/ Yellandu ,17.512531,80.277132
Khammam ,5000MT Godown  ,Kamepalle/ Yellandu ,17.395055,80.277994
Khammam ,5000MT Godown  ,Manchukonda (V) Raghunadhapalem (M),,
Khammam ,5000MT Godown ,Kalluru,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Nalgonda ,"Godown,  5000 MT's",Nalgonda/ Thipparthy,17.013334,79.421272
Nalgonda ,"Godown,  5000 MT's",Nalgonda/ Kangal,16.955079,79.201102
Nalgonda ,"Godown,  5000 MT's",Chandur/ Munugodu ,17.079527,79.079475
Nalgonda ,"Godown,  2500 MT's",Chityal,17.234121,79.122409
Nalgonda ,"Godown,  5000 MT's",Nakrekal/ Shaligowraram ,17.298224,79.383307
Nalgonda ,"Godown,  10000MT's",Miryalaguda / Damaracherla,16.720483,79.631801
Nalgonda ,"Godown,  2500 MT's",Nidamanoor,16.816194,79.366479
Nalgonda ,"Godown,  2500 MT's",Deverakonda/ Kondamallepally,16.711554,78.981485
Nalgonda ,"Godown,  5000 MT's",V.Nagar,16.971564,79.733456
Nalgonda ,"Godown,  10000MT's",V.Nagar/ Chintapalli,16.816365,78.833545
Nalgonda ,"Godown,  5000 MT's",V.Nagar/ Nampally,16.885227,78.950828
