crop,Area Kharif,Area Rabi,Area Total,Production Kharif,Production Rabi,Production Total,Yeild Kharif,Yeild Rabi,Yeild Total
Redgram,3.86,0.01,3.87,2.61,0.01,2.62,676,867,677
Blackgram,0.41,0.11,0.52,0.34,0.09,0.43,818,826,820
Greengram,1.35,0.11,1.46,0.82,0.1,0.92,610,903,632
Horsegram,N,0.01,0.01,N,0.01,0.01,383,383,383
Bengalgram,0,1.02,1.02,0,1.32,1.32,0,1299,1299
Cowgram,0.01,0.05,0.06,0.01,0.05,0.06,612,1067,986
Rajma Beans,0,0.01,0.01,0,N,N,0,622,622
 Anumulu,N,N,N,N,N,N,444,194,427
 Yerrapappu,0,N,N,0,N,N,0,528,528
Cotton,14.09,0,14.09,34.44,0,34.44,416,0,416
Sugarcane,0.26,0,0.26,20.6,0,20.6,79157,0,79157
Onion,0.06,0.09,0.15,0.93,3.09,4.02,15098,32843,25833
Potato,N,0.03,0.03,0.01,0.32,0.33,10946,10143,10152
Chillies,1.1,0.14,1.24,4.02,0.81,4.83,3662,5543,3884
Turmeric,0.51,N,0.51,3.05,N,3.05,6033,6044,6033
Tobacco,0.03,0.04,0.07,0.07,0.12,0.19,2724,2955,2864
Rice,8.89,9.39,18.28,30.29,35.7,65.99,3405,3801,3609
Wheat,0,0.05,0.05,0,0.08,0.08,0,1528,1528
Jowar,0.62,0.28,0.9,0.55,0.33,0.88,881,1190,977
Bajra,0.03,0.14,0.17,0.03,0.12,0.15,869,869,869
Maize,6.36,1.66,8.02,17.57,11.25,28.82,2760,6805,3595
Ragi,0.01,N,0.01,0.01,N,0.01,1159,1152,1157
Total Major Millets,7.02,2.08,9.1,18.16,11.7,29.86,2584,5654,3283
Small Millets,0.01,N,0.01,0.01,N,0.01,798,798,798
