crop,variety,location,arrivals(qtls),Max,Min,Model,Purchase by
Cabbage,Common,Shadnagar,12,"1,600","1,400","1,500",Private Traders
Carrot,Common,Shadnagar,5,"3,000","2,500","2,800",Private Traders
Brinjal,Common,Shadnagar,10,"1,100",800,900,Private Traders
Ladysfinger,Common,Shadnagar,13,"1,800","1,500","1,600",Private Traders
Greenchillies,Common,Shadnagar,18,"3,500","2,800","3,000",Private Traders
Tomato,Local,Shadnagar,10,"3,000","2,500","2,800",Private Traders
Clusterbeans,Common,Shadnagar,5,"2,200","1,800","2,000",Private Traders
Ribbedgourd,Common,Shadnagar,8,"3,000","2,500","2,800",Private Traders
Bittergourd,Common,Shadnagar,5,"3,000","2,500","2,800",Private Traders
Capsicum,Common,Shadnagar,5,"3,500","2,900","3,000",Private Traders
Paddy,Common (HMT),Suryapet,746,"2,121","1,378","2,112",Private Traders
Paddy,Grade-A (1010),Jagtial,2,"1,356","1,356","1,356",Private Traders
Paddy,Grade-A (BPT),Choppadandi,20,"1,452","1,445","1,452",Private Traders
Paddy,Grade-A (Jai Sri Ram),Jagtial,1,"1,975","1,975","1,975",Private Traders
Paddy,Grade-A (RNR),Suryapet,428,"2,159","1,404","1,986",Private Traders
Paddy,Grade-A (Samba Masuri),Suryapet,77,"2,439","1,469","2,309",Private Traders
Paddy,Grade-A (Samba Masuri),Tirmalagiri,6,"2,259","1,409","2,259",Private Traders
Paddy,Grade-A (Sonamasuri),Nagarkurnool,11,"1,306","1,306","1,306",Private Traders
Paddy,Grade-A(IR64),Suryapet,313,"1,706","1,269","1,702",Private Traders
Paddy,Grade-A(IR64),Tirmalagiri,44,"1,559","1,450","1,520",Private Traders
Paddy,Grade-A(IR64),Choppadandi,17,"1,511","1,370","1,470",Private Traders
Maize,Common,Choppadandi,36,"1,465","1,451","1,465",Private Traders
Maize,Common,Khammam,24,"1,331","1,150","1,331",Private Traders
Maize,Common,Tandur,19,"1,250","1,250","1,250",Private Traders
Maize,Common,Warangal,17,"1,472","1,452","1,462",Private Traders
Maize,Common,Nagarkurnool,8,"1,161","1,161","1,161",Private Traders
Bengalgram,Common,Tandur,6,"4,050","4,050","4,050",Private Traders
Redgram,Common,Suryapet,105,"5,571","3,489","5,561",Private Traders
Redgram,Common,Tirmalagiri,37,"5,253","4,700","4,932",Private Traders
Redgram,Common,Tandur,33,"5,805","5,508","5,701",Private Traders
Redgram,Common,Khammam,30,"5,430","5,000","5,230",Private Traders
Redgram,Common,Warangal,17,"5,312","4,922","5,255",Private Traders
Redgram,Hybrid,Choppadandi,5,"4,951","4,822","4,922",Private Traders
Greengram,Common,Khammam,36,"7,200","6,600","6,800",Private Traders
Greengram,Common,Suryapet,3,"6,876","6,876","6,876",Private Traders
Greengram,Common,Warangal,3,"6,755","6,755","6,755",Private Traders
Greengram,Common,Choppadandi,1,"5,252","5,252","5,252",Private Traders
Black Gram,Common,Suryapet,6,"5,759","5,759","5,759",Private Traders
Cowpea,Common,Suryapet,1,"4,069","4,069","4,069",Private Traders
Cotton,Common,Warangal,"4,000","4,550","3,500","4,490",Private Traders
Cotton,Common,Khammam,516,"4,625","3,000","4,100",Private Traders
Groundnut ,Common,Warangal,53,"3,450","2,200","2,700",Private Traders
Groundnut ,Common,Nagarkurnool,11,"5,320","5,300","5,320",Private Traders
Castor,Common,Nagarkurnool,8,"3,856","3,856","3,856",Private Traders
Onions,Common,Gudumalkapur,"1,292","1,000",600,800,Private Traders
Tumeric,Bulb,Jagtial,5,"4,301","3,800","4,201",Private Traders
Tumeric,Finger,Jagtial,11,"4,500","3,921","4,425",Private Traders
Mango,Benishan,Gaddiannaram,"1,800",900,"1,800","4,500",Private Traders
Mosambi,Common,Gaddiannaram,"3,385","2,900",600,"1,300",Private Traders
Orange,Common,Gaddiannaram,132,"4,400","1,900","2,750",Private Traders
Grapes,Black,Gaddiannaram,20,"3,250","1,400","2,250",Private Traders
Pomegrenates,Common,Gaddiannaram,88,"6,500",750,"2,000",Private Traders
Sapota,Common,Gaddiannaram,264,"1,000",400,600,Private Traders
Muskmelon,Common,Gaddiannaram,80,"1,200",500,700,Private Traders
Watermelon,Common,Gaddiannaram,400,700,400,500,Private Traders
Pineapple,Common,Gaddiannaram,240,"2,800",400,800,Private Traders
Jackfruit,Common,Gaddiannaram,80,300,150,200,Private Traders
Papaya,Common,Gaddiannaram,240,800,400,500,Private Traders
Guava,Common,Gaddiannaram,90,"2,650",650,"1,250",Private Traders
Apple,Common,Gaddiannaram,404,"12,500","4,350","6,250",Private Traders
